Sb,CdTe,M_i_Cd_site,2.091,8.096,0,-2,5,15,0.25,4,3,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5
Hg,CdTe,M_Te,0.825,2.283,-2,0,6,12,1,4,0,0.05,72.99,0.13,137.8,0,-190.15,-0.1,28,-4
Bi,CdTe,M_i_Cd_site,0.542,1.719,0,3,6,15,0.25,4,3,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5
B,CdTe,M_Cd,2.241,9.404,2,0,2,13,0,0,4,-0.72,-101.599,-0.59,-67.1,-0.509,27,0.35,-43,1
Cu,CdTe,M_i_Cd_site,-0.441,0.643,0,2,4,11,0.25,4,3,0.73,63.456,1.17,745.4,1.278,118.3,1.9,29,2
Pt,CdTe,M_i_Cd_site,0.162,1.176,0,1,6,10,0.25,4,3,0.63,195.08,1.3,870,1.38,205.3,2.28,78,4
Ir,CdTe,M_Cd,1.945,6.992,2,0,6,9,0,0,4,-0.32,79.81,-0.14,12.3,-0.132,150,0.51,29,1
Os,CdTe,M_Te,-0.235,0.79,-2,-1,6,8,1,4,0,-0.34,62.6,-0.1,-29.2,-0.26,-80.15,0.1,24,2
Re,CdTe,M_i_old,-0.223,0.8,0,3,6,7,0.5,3,3,0.53,186.207,1.28,760,1.37,14,1.9,75,7
Pb,CdTe,M_i_Te_site,1.936,6.932,0,0,6,14,0.75,3,4,1.19,207.2,1.47,715.5,1.75,110,2.33,82,4
Ir,CdTe,M_i_old,-0.019,0.981,0,2,6,9,0.5,3,3,0.63,192.22,1.27,880,1.357,150,2.2,77,3
F,CdTe,M_i_old,-0.833,0.435,0,3,2,17,0.5,3,3,1.33,18.9984,0.72,1681,0.72,328,3.98,9,1
Y,CdTe,M_i_Te_site,2.091,8.093,0,0,5,3,0.75,3,4,1.02,88.9059,1.62,616,1.81,0,1.22,39,3
Ga,CdTe,M_i_old,2.537,12.64,0,-2,4,13,0.5,3,3,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3
C,CdTe,M_Te,-0.033,0.968,-2,-2,2,14,1,4,0,-0.81,-115.589,-0.59,217.2,-0.69,-67.85,0.45,-46,-2
